pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Israël,105,2013,Pommes de Terre,2531,419.0,0.0,20.0,0.0,32.0,309.0,58.0
Italie,106,2013,Blé,2511,11050.0,1680.0,325.0,36.0,75.0,8927.0,7.0
Italie,106,2013,Maïs,2514,11801.0,10600.0,33.0,10.0,515.0,258.0,386.0
Italie,106,2013,Graines Colza/Moutarde,2558,90.0,0.0,0.0,2.0,83.0,4.0,1.0
Italie,106,2013,"Plantes Oleiferes, Autre",2570,359.0,0.0,0.0,1.0,358.0,0.0,0.0
Italie,106,2013,Riz (Eq Blanchi),2805,429.0,12.0,29.0,1.0,27.0,350.0,11.0
Côte d'Ivoire,107,2013,Riz (Eq Blanchi),2805,1677.0,133.0,28.0,198.0,25.0,1291.0,0.0
Kazakhstan,108,2013,Blé,2511,6654.0,1542.0,2230.0,716.0,161.0,1518.0,486.0
Kazakhstan,108,2013,Orge,2513,1983.0,1270.0,284.0,213.0,95.0,120.0,0.0
Kazakhstan,108,2013,Pommes de Terre,2531,3481.0,383.0,373.0,305.0,9.0,1831.0,581.0
Kazakhstan,108,2013,Graines de tournesol,2557,447.0,4.0,16.0,14.0,401.0,12.0,0.0
Kazakhstan,108,2013,"Légumes, Autres",2605,4163.0,1348.0,30.0,113.0,33.0,2298.0,341.0
Jamaïque,109,2013,Riz (Eq Blanchi),2805,78.0,2.0,0.0,1.0,10.0,65.0,0.0
Japon,110,2013,Blé,2511,7282.0,1156.0,20.0,165.0,152.0,5727.0,62.0
Japon,110,2013,Maïs,2514,14661.0,10964.0,0.0,3.0,2235.0,1171.0,288.0
Japon,110,2013,Pommes de Terre,2531,3154.0,3.0,149.0,204.0,98.0,2664.0,37.0
Japon,110,2013,Patates douces,2533,985.0,3.0,14.0,7.0,47.0,884.0,29.0
Japon,110,2013,"Plantes Oleiferes, Autre",2570,7.0,0.0,0.0,0.0,5.0,1.0,1.0
Japon,110,2013,Riz (Eq Blanchi),2805,8210.0,101.0,30.0,135.0,319.0,7609.0,16.0
Jordanie,112,2013,Maïs,2514,579.0,497.0,0.0,23.0,29.0,19.0,11.0
Kenya,114,2013,Maïs,2514,3697.0,115.0,61.0,74.0,20.0,3380.0,48.0
République populaire démocratique de Corée,116,2013,Maïs,2514,2102.0,118.0,37.0,159.0,398.0,1140.0,250.0
République de Corée,117,2013,Blé,2511,4436.0,1900.0,1.0,30.0,0.0,2505.0,0.0
République de Corée,117,2013,Orge,2513,350.0,0.0,2.0,7.0,328.0,13.0,0.0
République de Corée,117,2013,Maïs,2514,8749.0,6281.0,1.0,176.0,1631.0,614.0,47.0
République de Corée,117,2013,Pommes de Terre,2531,1278.0,95.0,21.0,76.0,355.0,731.0,0.0
République de Corée,117,2013,Patates douces,2533,331.0,78.0,20.0,33.0,0.0,200.0,0.0
Lettonie,119,2013,Blé,2511,345.0,69.0,95.0,13.0,20.0,148.0,0.0
Lettonie,119,2013,Orge,2513,196.0,92.0,21.0,4.0,31.0,48.0,0.0
Lettonie,119,2013,Pommes de Terre,2531,510.0,110.0,100.0,10.0,42.0,239.0,9.0
République démocratique populaire lao,120,2013,Riz (Eq Blanchi),2805,2290.0,228.0,137.0,137.0,111.0,1077.0,600.0
Lituanie,126,2013,Blé,2511,980.0,246.0,139.0,31.0,46.0,367.0,152.0
Lituanie,126,2013,Orge,2513,543.0,374.0,38.0,15.0,56.0,24.0,36.0
Lituanie,126,2013,Pommes de Terre,2531,532.0,113.0,90.0,29.0,10.0,289.0,1.0
Madagascar,129,2013,Riz (Eq Blanchi),2805,2906.0,119.0,75.0,355.0,6.0,2350.0,0.0
Malawi,130,2013,Maïs,2514,3699.0,510.0,55.0,999.0,20.0,2115.0,0.0
Malaisie,131,2013,Maïs,2514,3846.0,3171.0,0.0,174.0,10.0,470.0,22.0
Malaisie,131,2013,Riz (Eq Blanchi),2805,2882.0,52.0,13.0,131.0,0.0,2415.0,271.0
Mali,133,2013,Millet,2517,1352.0,162.0,52.0,154.0,19.0,865.0,100.0
Mexique,138,2013,Maïs,2514,31707.0,12615.0,370.0,2858.0,1602.0,14232.0,30.0
Mexique,138,2013,Soja,2555,3854.0,959.0,7.0,116.0,2440.0,2.0,330.0
Mexique,138,2013,"Plantes Oleiferes, Autre",2570,112.0,11.0,4.0,6.0,60.0,0.0,32.0
Mongolie,141,2013,Blé,2511,465.0,48.0,24.0,17.0,22.0,354.0,0.0
Mongolie,141,2013,Orge,2513,23.0,2.0,0.0,0.0,14.0,7.0,0.0
Maroc,143,2013,Blé,2511,9318.0,2000.0,299.0,738.0,0.0,5932.0,350.0
Maroc,143,2013,Orge,2513,2909.0,1000.0,127.0,232.0,19.0,1330.0,200.0
Maroc,143,2013,"Plantes Oleiferes, Autre",2570,9.0,0.0,0.0,0.0,9.0,0.0,0.0
République de Moldova,146,2013,Maïs,2514,1294.0,868.0,12.0,73.0,20.0,320.0,1.0
Pays-Bas,150,2013,Blé,2511,4901.0,2900.0,98.0,29.0,42.0,1176.0,656.0
Pays-Bas,150,2013,Maïs,2514,3662.0,2920.0,8.0,30.0,222.0,41.0,441.0
Pays-Bas,150,2013,Pommes de Terre,2531,2919.0,550.0,238.0,185.0,147.0,1522.0,277.0
Nouvelle-Zélande,156,2013,Blé,2511,772.0,320.0,9.0,17.0,77.0,347.0,3.0
Nouvelle-Zélande,156,2013,Orge,2513,393.0,325.0,8.0,9.0,47.0,2.0,2.0
Nicaragua,157,2013,Maïs,2514,659.0,30.0,21.0,135.0,0.0,417.0,56.0
Nigéria,159,2013,Maïs,2514,10440.0,3120.0,130.0,1162.0,311.0,5680.0,36.0
